#Version:1
# Prefix/Mask,Nexthop,MED,LocalPref,Weight,ASPath,Origin
i,4.0.0.0/8,1.1.1.1,5,90,6,<3356>,i
i,4.0.0.0/9,1.1.1.2,4,90,0,<3356_23456>,e
i,4.23.112.0/24,1.1.1.3,0,130,0,<21889>,i
i,4.23.113.0/24,1.1.1.4,0,130,10,<21889>,i
i,4.23.114.0/24,1.1.1.5,0,130,0,<21889>,i
i,4.36.116.0/23,1.1.1.6,500,130,0,<21889>,i
i,4.36.116.0/24,1.1.1.7,0,130,0,<21889>,i
i,4.36.117.0/24,1.1.1.8,0,130,0,<21889>,i
i,4.36.118.0/24,1.1.1.9,0,130,11,<23456_23456>,i
i,4.67.64.0/22,1.1.1.10,0,100,0,<11608_19281>,i
